city_id,city_name,date,summary,day_number,place_order,place_name,latitude,longitude,travel_minutes_from_prev,travel_mode_from_prev,weather_code,description
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,1,Galleria Borghese,,,,,3,"tourist_attraction, museum"
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,2,La Pergola,,,12,driving,3,"restaurant"
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,3,Via Condotti,,,20,driving,3,"luxury_shopping"
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,4,Zuma Rome,,,11,driving,3,"restaurant"
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,5,Pantheon,,,9,driving,3,"tourist_attraction"
3169070,Rome,2026-07-10,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",1,6,Palazzo Fendi,,,14,driving,3,"shopping_mall"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,1,Colosseo,,,,,2,"tourist_attraction"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,2,Aroma Restaurant,,,14,driving,2,"restaurant"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,3,Imàgo,,,7,driving,2,"restaurant"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,4,Terme di Diocleziano,,,19,driving,2,"spa, tourist_attraction"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,5,Rinascente Roma Via del Tritone,,,13,driving,2,"shopping_mall"
3169070,Rome,2026-07-11,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",2,6,Il Pagliaccio,,,8,driving,2,"restaurant"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,1,Musei Vaticani,,,,,3,"tourist_attraction, museum"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,2,La Terrazza (Hotel Eden),,,16,driving,3,"restaurant"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,3,Castel Sant'Angelo,,,21,driving,3,"tourist_attraction"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,4,Antico Caffè Greco,,,11,driving,3,"cafe, luxury"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,5,Piazza Navona,,,14,driving,3,"tourist_attraction"
3169070,Rome,2026-07-12,"A three-day Rome mock itinerary focused on museums, dining, landmarks, and luxury shopping.",3,6,Pipero Roma,,,9,driving,3,"restaurant"
